label,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8
0,0.5747302946542464,0.6942858824392141,0.5313345481936015,0.5055317612674245,0.8604703173132859,0.28774595021550897,0.4269914009112305,0.6262128276908802
0,0.5857301255412705,0.6719647103325207,0.5763507763319251,0.5715798978490576,0.7140164195951764,0.4248140817449528,0.3494651782720381,0.4365775427688556
0,0.3978628221959411,0.5814554480530902,0.6939152754909131,0.5049079575206853,0.5168557439610139,0.2866392970280608,0.6057065244394269,0.6354133432855912
0,1.0,0.37792082193775817,0.3034134361408096,0.5563901748018278,0.4792117632828581,0.9995362929987306,0.29308963185692216,0.30530398409509135
0,0.5748022302406529,0.6010039521949005,0.6693695141758144,0.5475414438561472,0.2201041334242512,0.4796053796854221,0.2684255584614433,0.5724036343121187
0,0.5110057462030037,0.7006990981429343,0.37583917050121796,0.0,0.45377611743095647,0.6175591154517911,0.17054227319962065,0.06468891205616303
0,0.327819907041825,0.4581900986882551,0.6150924189790161,0.29762577940601054,0.37883098508834234,0.23284396611121014,0.6372526705626972,0.43114821324597585
0,0.3787573689503573,0.7338201674649228,0.5721405773561845,0.12533956593169618,0.7998100929607828,0.47711183696543263,0.26878099596254984,0.39387476970543267
0,0.834124783434273,0.5063555267795684,0.3819724306017932,0.6620790431794638,1.0,0.7919605260388246,0.5268310103987112,0.31841480284303164
0,0.3025225109855792,0.516312237795255,0.655850643628676,0.09165140416231539,0.46629930542316345,0.26122010601232537,0.20372151250327392,0.4367155684369499
0,0.4843507537866591,0.4409233946872804,0.7031918617449079,0.6458099558852516,0.5215502466878672,0.29655887092329053,0.49948670758087543,0.4551056027028652
0,0.30949541245070467,0.43099892746528035,0.7825803282592759,0.17833914218530864,0.39429637161365055,0.3245021631829315,0.07011774136189469,0.4117065175677814
0,0.546739005339997,0.5509005245556529,0.5450595215665803,0.4891262634987315,0.48812026450398865,0.7356210085735186,0.6832744264703733,0.25973908600650536
0,0.7726642420193958,0.0495964145567069,0.5247516866047657,0.5749513571270076,0.8191501184956901,0.5048724851573274,0.1534367370927463,0.29835494894805337
0,0.39122524013286136,0.6338488028784082,0.7009064758762167,0.3691177531829502,0.4092684268056633,0.49200542380187096,0.469827905578463,0.5286541448972197
